source,target,weight,source_freq,target_freq
Benzodiazepines,Tandem Mass Spectrometry,2,8,11
Antipsychotic Agents,chemically induced,2,54,2
Piperazines,"Spectrophotometry, Ultraviolet",2,26,2
Quinolones,"Spectrophotometry, Ultraviolet",2,25,2
Reproducibility of Results,"Spectrophotometry, Ultraviolet",2,8,2
adverse effects,chemically induced,2,11,2
"Chromatography, Liquid",Reproducibility of Results,2,7,8
drug effects,therapeutic use,2,4,27
Aripiprazole,chemically induced,2,46,2
Aripiprazole,Linear Models,2,46,2
Aripiprazole,"Drug Therapy, Combination",2,46,3
Aripiprazole,"Spectrometry, Mass, Electrospray Ionization",2,46,2
Linear Models,methods,2,2,22
Olanzapine,Tandem Mass Spectrometry,2,9,11
Tandem Mass Spectrometry,analysis,2,11,4
Quinolones,analysis,2,25,4
"Chromatography, High Pressure Liquid",Linear Models,2,8,2
Olanzapine,Piperazines,2,9,26
Piperazines,analysis,2,26,4
Schizophrenia,chemically induced,2,24,2
Limit of Detection,Piperazines,2,3,26
chemically induced,drug therapy,2,2,34
Antipsychotic Agents,Reproducibility of Results,2,54,8
"Chromatography, High Pressure Liquid","Spectrometry, Mass, Electrospray Ionization",2,8,2
Paliperidone Palmitate,Piperazines,2,4,26
Clozapine,Tandem Mass Spectrometry,2,5,11
Clozapine,Paliperidone Palmitate,2,5,4
Piperazines,Positron-Emission Tomography,2,26,3
Piperazines,drug effects,2,26,4
Paliperidone Palmitate,Schizophrenia,2,4,24
Antipsychotic,methods,2,3,22
Antipsychotic,Antipsychotic Agents,2,3,54
Positron-Emission Tomography,Quinolones,2,3,25
Positron-Emission Tomography,metabolism,2,3,18
Antipsychotic,Aripiprazole,2,3,46
Quinolones,drug effects,2,25,4
Risperidone,therapeutic drug monitoring,2,11,11
Aripiprazole,Pharmacogenetics,2,46,3
Antipsychotic Agents,Antipsychotic drugs,2,54,2
"ATP Binding Cassette Transporter, Subfamily B",pharmacokinetics,2,2,32
Antipsychotic drugs,therapeutic drug monitoring,2,2,11
Cytochrome P-450 CYP3A,pharmacokinetics,2,3,32
"ATP Binding Cassette Transporter, Subfamily B",blood,2,2,40
"ATP Binding Cassette Transporter, Subfamily B",genetics,2,2,6
"ATP Binding Cassette Transporter, Subfamily B",Antipsychotic Agents,2,2,54
"ATP Binding Cassette Transporter, Subfamily B",Cytochrome P-450 CYP3A,2,2,3
"ATP Binding Cassette Transporter, Subfamily B",metabolism,2,2,18
Prolactin,pharmacokinetics,2,3,32
Antipsychotic Agents,Sulpiride,2,54,2
"ATP Binding Cassette Transporter, Subfamily B",Genotype,2,2,5
Antipsychotic drugs,Drug Monitoring,2,2,26
Drug Monitoring,antipsychotics,2,26,7
"ATP Binding Cassette Transporter, Subfamily B",Aripiprazole,2,2,46
Antidepressive Agents,antipsychotics,2,4,7
Antidepressants,Drug Monitoring,2,2,26
Antidepressants,Antipsychotic Agents,2,2,54
Antidepressants,Antidepressive Agents,2,2,4
Drug Monitoring,genetics,2,26,6
Cytochrome P-450 CYP2D6,Drug Monitoring,2,7,26
Antidepressants,antipsychotics,2,2,7
Prolactin,drug therapy,2,3,34
Prolactin,Schizophrenia,2,3,24
Drug Monitoring,Genotype,2,26,5
Clozapine,methods,2,5,22
Aripiprazole,paliperidone,2,46,2
Pharmacogenetics,antipsychotics,2,3,7
antipsychotics,paliperidone,2,7,2
Protein Binding,metabolism,2,2,18
Antipsychotic Agents,Protein Binding,2,54,2
Aripiprazole,Protein Binding,2,46,2
Positron-Emission Tomography,blood,2,3,40
Drug Monitoring,analysis,2,26,4
Antipsychotic Agents,Pharmacogenetics,2,54,3
Benzodiazepines,analysis,2,8,4
Antipsychotic Agents,analysis,2,54,4
"Dose-Response Relationship, Drug",drug effects,2,12,4
Risperidone,paliperidone,2,11,2
Clozapine,drug therapy,2,5,34
Clozapine,Haloperidol,2,5,5
Haloperidol,Risperidone,2,5,11
Schizophrenia,therapeutic drug monitoring,2,24,11
Bipolar Disorder,Valproic Acid,2,3,3
Aripiprazole,Quetiapine,2,46,2
Antimanic Agents,Valproic Acid,2,3,3
Antimanic Agents,Bipolar Disorder,2,3,3
Antimanic Agents,Antipsychotic Agents,2,3,54
Valproic Acid,pharmacokinetics,2,3,32
Valproic Acid,blood,2,3,40
East Asian People,therapeutic use,2,4,27
Calibration,blood,2,2,40
Anticonvulsants,drug therapy,2,2,34
Olanzapine,Quetiapine,2,9,2
Quetiapine,pharmacokinetics,2,2,32
Anticonvulsants,Bipolar Disorder,2,2,3
Anticonvulsants,Antipsychotic Agents,2,2,54
Quetiapine,Risperidone,2,2,11
Anticonvulsants,pharmacokinetics,2,2,32
Quetiapine,methods,2,2,22
Anticonvulsants,blood,2,2,40
