source,target,weight,source_freq,target_freq
blood,chemistry,2,11,3
Reproducibility of Results,blood,2,3,11
chemistry,methods,2,3,8
Reproducibility of Results,chemistry,2,3,3
"Chromatography, High Pressure Liquid",Reproducibility of Results,2,6,3
Aripiprazole,chemistry,2,6,3
"Chromatography, Liquid",chemistry,2,5,3
Antipsychotics,adverse effects,2,10,16
Antipsychotics,epidemiology,2,10,4
"Dose-Response Relationship, Drug",Schizophrenia,2,4,10
"Dose-Response Relationship, Drug",drug therapy,2,4,14
Aripiprazole,therapeutic drug monitoring,2,6,8
blood,metabolism,2,11,4
Aripiprazole,blood,2,6,11
Aripiprazole,metabolism,2,6,4
Tandem Mass Spectrometry,metabolism,2,11,4
Aripiprazole,"Chromatography, Liquid",2,6,5
chemically induced,drug therapy,2,5,14
Clozapine,Psychotic Disorders,1,10,2
Piperazines,chemistry,1,2,3
Piperazines,Reproducibility of Results,1,2,3
Paliperidone Palmitate,chemistry,1,3,3
Paliperidone Palmitate,Reproducibility of Results,1,3,3
Paliperidone Palmitate,Piperazines,1,3,2
Olanzapine,chemistry,1,6,3
Quetiapine Fumarate,methods,1,4,8
Piperazines,methods,1,2,8
"Chromatography, Liquid",Paliperidone Palmitate,1,5,3
"Chromatography, Liquid",Piperazines,1,5,2
"Chromatography, Liquid",Quetiapine Fumarate,1,5,4
"Chromatography, Liquid",Reproducibility of Results,1,5,3
"Chromatography, Liquid",Risperidone,1,5,7
Drug Interactions,drug effects,1,3,5
Schizophrenia,drug effects,1,10,5
chemically induced,pharmacokinetics,1,5,8
Weight Gain,pharmacokinetics,1,3,8
Weight Gain,therapeutic use,1,3,19
adverse effects,antipsychotic,1,16,2
Risperidone,antipsychotic,1,7,2
Risperidone,pharmacokinetics,1,7,8
Aripiprazole,pharmacokinetics,1,6,8
Quetiapine Fumarate,pharmacokinetics,1,4,8
Paliperidone Palmitate,pharmacokinetics,1,3,8
medication adherence,methods,1,2,8
atypical antipsychotics,therapeutic drug monitoring,1,3,8
atypical antipsychotics,pharmacokinetics,1,3,8
atypical antipsychotics,metabolism,1,3,4
"Dose-Response Relationship, Drug",atypical antipsychotics,1,4,3
Drug Monitoring,atypical antipsychotics,1,13,3
therapeutic drug monitoring,therapeutic use,1,8,19
"Dose-Response Relationship, Drug",therapeutic drug monitoring,1,4,8
"Chromatography, Liquid",metabolism,1,5,4
chemistry,metabolism,1,3,4
Drug Interactions,pharmacology,1,3,3
Drug Monitoring,pharmacology,1,13,3
Drug Interactions,Drug Monitoring,1,3,13
United States Food and Drug Administration,therapeutic use,1,2,19
Amisulpride,chemistry,1,4,3
Aripiprazole,Dibenzothiazepines,1,6,2
blood,chemically induced,1,11,5
"Dose-Response Relationship, Drug",medication adherence,1,4,2
Drug Monitoring,medication adherence,1,13,2
"Chromatography, Liquid",Dried Blood Spot Testing,1,5,2
"Chromatography, High Pressure Liquid",chemistry,1,6,3
Drug Monitoring,chemistry,1,13,3
administration & dosage,medication adherence,1,6,2
antipsychotic drugs,therapeutic drug monitoring,1,3,8
antipsychotic drugs,blood,1,3,11
"Chromatography, Liquid",antipsychotic drugs,1,5,3
Dried Blood Spot Testing,antipsychotic drugs,1,2,3
Antipsychotics,Schizophrenia,1,10,10
Antipsychotics,drug therapy,1,10,14
"Dose-Response Relationship, Drug",blood,1,4,11
Drug Monitoring,antipsychotic drugs,1,13,3
Tandem Mass Spectrometry,antipsychotic drugs,1,11,3
drug therapy,utilization,1,14,2
Schizophrenia,therapeutic drug monitoring,1,10,8
drug therapy,therapeutic drug monitoring,1,14,8
metabolism,pharmacokinetics,1,4,8
metabolism,therapeutic use,1,4,19
"Dose-Response Relationship, Drug",metabolism,1,4,4
Drug Monitoring,metabolism,1,13,4
Schizophrenia,metabolism,1,10,4
drug therapy,metabolism,1,14,4
Antipsychotics,psychosis,1,10,2
Antipsychotics,Drug Interactions,1,10,3
Antipsychotics,pharmacokinetics,1,10,8
Antidepressive Agents,Antipsychotics,1,2,10
adverse effects,medication adherence,1,16,2
medication adherence,pharmacokinetics,1,2,8
administration & dosage,pharmacology,1,6,3
Antidepressive Agents,"Chromatography, High Pressure Liquid",1,2,6
Antidepressive Agents,methods,1,2,8
Antidepressive Agents,Drug Monitoring,1,2,13
Antidepressive Agents,Drug Interactions,1,2,3
Antidepressive Agents,pharmacokinetics,1,2,8
Antidepressive Agents,therapeutic use,1,2,19
antipsychotic,utilization,1,2,2
administration & dosage,antipsychotic,1,6,2
antipsychotic,therapeutic use,1,2,19
"Databases, Factual",antipsychotic,1,3,2
antipsychotic,statistics & numerical data,1,2,3
Schizophrenia,antipsychotic,1,10,2
Drug Monitoring,antipsychotic,1,13,2
Antipsychotic Agents,utilization,1,34,2
administration & dosage,utilization,1,6,2
therapeutic use,utilization,1,19,2
Schizophrenia,utilization,1,10,2
Drug Monitoring,utilization,1,13,2
"Databases, Factual",drug therapy,1,3,14
"Databases, Factual",Schizophrenia,1,3,10
Drug Monitoring,Reproducibility of Results,1,13,3
Schizophrenia,pharmacology,1,10,3
drug therapy,pharmacology,1,14,3
methods,pharmacology,1,8,3
Schizophrenia,methods,1,10,8
drug therapy,methods,1,14,8
"Chromatography, High Pressure Liquid","Chromatography, Liquid",1,6,5
"Chromatography, Liquid",Quality Control,1,5,2
Drug Monitoring,Quality Control,1,13,2
Schizophrenia,statistics & numerical data,1,10,3
Drug Monitoring,statistics & numerical data,1,13,3
Antidepressive Agents,blood,1,2,11
Amisulpride,drug effects,1,4,5
medication adherence,therapeutic use,1,2,19
"Chromatography, Liquid",medication adherence,1,5,2
Clozapine,medication adherence,1,10,2
Tandem Mass Spectrometry,medication adherence,1,11,2
"Chromatography, Liquid",therapeutic use,1,5,19
Antipsychotics,"Databases, Factual",1,10,3
adverse effects,statistics & numerical data,1,16,3
blood,pharmacokinetics,1,11,8
"Chromatography, High Pressure Liquid",pharmacokinetics,1,6,8
Paliperidone Palmitate,Schizophrenia,1,3,10
Paliperidone Palmitate,drug therapy,1,3,14
Antipsychotics,medication adherence,1,10,2
Aripiprazole,Weight Gain,1,6,3
"Databases, Factual",utilization,1,3,2
statistics & numerical data,utilization,1,3,2
Olanzapine,epidemiology,1,6,4
Paliperidone Palmitate,epidemiology,1,3,4
Quetiapine Fumarate,epidemiology,1,4,4
Risperidone,epidemiology,1,7,4
Paliperidone Palmitate,haloperidol,1,3,3
Quetiapine Fumarate,haloperidol,1,4,3
Schizophrenia,haloperidol,1,10,3
drug therapy,haloperidol,1,14,3
Aripiprazole,epidemiology,1,6,4
Aripiprazole,Schizophrenia,1,6,10
Aripiprazole,drug therapy,1,6,14
Weight Gain,asenapine,1,3,2
adverse effects,asenapine,1,16,2
asenapine,drug effects,1,2,5
Antidepressive Agents,Tandem Mass Spectrometry,1,2,11
Amisulpride,Weight Gain,1,4,3
drug effects,lurasidone,1,5,2
Clozapine,Weight Gain,1,10,3
Clozapine,drug effects,1,10,5
haloperidol,therapeutic use,1,3,19
Benzodiazepines,epidemiology,1,3,4
Benzodiazepines,haloperidol,1,3,3
Amisulpride,epidemiology,1,4,4
epidemiology,statistics & numerical data,1,4,3
United States Food and Drug Administration,epidemiology,1,2,4
United States Food and Drug Administration,statistics & numerical data,1,2,3
"Databases, Factual",United States Food and Drug Administration,1,3,2
Weight Gain,haloperidol,1,3,3
drug effects,haloperidol,1,5,3
Aripiprazole,drug effects,1,6,5
United States Food and Drug Administration,administration & dosage,1,2,6
